Name,Country,Discipline,Event
LOCK Adrian Mayner,Spain,Hockey,Women
CLARK STEPHEN Gregg,India,Hockey,Men
BATISTA Fernando,Argentina,Football,Men
PRADO BRANAS Joaquin,Spain,Basketball,
KNEZEVIC Nemanja,Kazakhstan,Water Polo,Men
GARCIA PIZARRO Paula,Colombia,Artistic Swimming,Duet
GUIMARAES Jose Roberto,Brazil,Volleyball,Women
VEGA HERRERO Anna,Spain,Artistic Swimming,
GINZBURG Ronen,Czech Republic,Basketball,Men
KAISER Pierre,Belgium,Basketball,
HALD Simon,Denmark,Handball,
ZAMORA PEDREIRA Javier,Spain,Basketball,
HALKETT Rhett,Netherlands,Hockey,
SUNDHAGE Pia Mariane,Brazil,Football,Women
KLARENBEEK Auke,Netherlands,Handball,
KANUNGO Bergin,Zambia,Football,
SCHILLING April,Nigeria,Basketball,
MARIJNE Sjoerd,India,Hockey,Women
VORONOVA Elena,ROC,Artistic Swimming,Duet
WANG Yang,People's Republic of China,Hockey,Women
KUNTZ Stefan,Germany,Football,Men
RIPOLL Sylvain,France,Football,Men
AGEBA Yuya,Japan,Volleyball,
EDDY Anthony,Ireland,Rugby Sevens,Men
GUERRERO LOPEZ Julen,Spain,Football,
ENQUIST Susan,United States of America,Volleyball,
PRIESTMAN Bev,Canada,Football,Women
